('Administrative & Mgmt', Salary: 190743.68, Pto: 0.00, Retirement: 38069.56, Benefits: 9311.05, Stock: 0.00, Signing: 0.00, Other: 12488.01)
('Fire Services', Salary: 146170.57, Pto: 0.00, Retirement: 22750.98, Benefits: 13242.97, Stock: 0.00, Signing: 0.00, Other: 2385.65)
('Administrative-Labor & Trades', Salary: 117773.59, Pto: 0.00, Retirement: 20151.12, Benefits: 10719.26, Stock: 0.00, Signing: 0.00, Other: 8352.36)
('Administrative-DPW/PUC', Salary: 115095.23, Pto: 0.00, Retirement: 22194.22, Benefits: 10937.14, Stock: 0.00, Signing: 0.00, Other: 8564.19)
('Police Services', Salary: 118143.65, Pto: 0.00, Retirement: 18793.33, Benefits: 9914.93, Stock: 0.00, Signing: 0.00, Other: 1942.43)
('Construction Project Mgmt', Salary: 108010.67, Pto: 0.00, Retirement: 21159.02, Benefits: 9216.47, Stock: 0.00, Signing: 0.00, Other: 7547.95)
('Legal & Court', Salary: 107022.87, Pto: 0.00, Retirement: 21089.36, Benefits: 10442.10, Stock: 0.00, Signing: 0.00, Other: 7131.33)
('Management', Salary: 102641.04, Pto: 0.00, Retirement: 19898.23, Benefits: 8678.79, Stock: 0.00, Signing: 0.00, Other: 12049.97)
('Medical & Dental', Salary: 107343.67, Pto: 0.00, Retirement: 20553.04, Benefits: 6773.95, Stock: 0.00, Signing: 0.00, Other: 6690.71)
('Port Operation', Salary: 100423.75, Pto: 0.00, Retirement: 19483.00, Benefits: 10414.66, Stock: 0.00, Signing: 0.00, Other: 8415.85)
('Supervisory-Labor & Trade', Salary: 100541.94, Pto: 0.00, Retirement: 17538.96, Benefits: 10775.39, Stock: 0.00, Signing: 0.00, Other: 7535.51)
('Public Safety Inspection', Salary: 97539.98, Pto: 0.00, Retirement: 17915.30, Benefits: 10789.37, Stock: 0.00, Signing: 0.00, Other: 7415.18)
('Correction & Detention', Salary: 100518.11, Pto: 0.00, Retirement: 18435.82, Benefits: 10677.89, Stock: 0.00, Signing: 0.00, Other: 1931.47)
